Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Yemen,Ibb,As Sabrah,YEM,YE1114,YE11,January,2015,0,0
Yemen,Sanaa,Bilad Ar Rus,YEM,YE2306,YE23,January,2015,0,0
Yemen,Hajjah,Kuhlan Affar,YEM,YE1718,YE17,January,2015,0,0
Yemen,Amran,Jabal Iyal Yazid,YEM,YE2912,YE29,January,2015,0,0
Yemen,Lahij,Al Maqatirah,YEM,YE2512,YE25,January,2015,0,0
Yemen,Amran,Suwayr,YEM,YE2907,YE29,January,2015,0,0
Yemen,Ibb,As Sayyani,YEM,YE1115,YE11,January,2015,0,0
Yemen,Hajjah,Mabyan,YEM,YE1720,YE17,January,2015,0,0
Yemen,Shabwah,Dhar,YEM,YE2101,YE21,January,2015,0,0
Yemen,Abyan,Sibah,YEM,YE1205,YE12,January,2015,0,0
Yemen,Hajjah,Al Mahabishah,YEM,YE1715,YE17,January,2015,0,0
Yemen,Al Hudaydah,Az Zuhrah,YEM,YE1801,YE18,January,2015,2,0
Yemen,Taizz,Al Maafer,YEM,YE1521,YE15,January,2015,0,0
Yemen,Marib,Mahliyah,YEM,YE2610,YE26,January,2015,0,0
Yemen,Taizz,Salh,YEM,YE1519,YE15,January,2015,0,0
Yemen,Taizz,Al Mukha,YEM,YE1505,YE15,January,2015,0,0
Yemen,Ibb,Al Dhihar,YEM,YE1119,YE11,January,2015,2,2
Yemen,Amran,Al Ashah,YEM,YE2903,YE29,January,2015,0,0
Yemen,Sanaa,Bani Matar,YEM,YE2307,YE23,January,2015,1,0
Yemen,Taizz,Mashraa Wa Hadnan,YEM,YE1509,YE15,January,2015,0,0
Yemen,Dhamar,Anss,YEM,YE2010,YE20,January,2015,0,0
Yemen,Amran,Al Qaflah,YEM,YE2904,YE29,January,2015,0,0
Yemen,Hajjah,Washhah,YEM,YE1730,YE17,January,2015,0,0
Yemen,Ibb,Ibb,YEM,YE1120,YE11,January,2015,0,0
Yemen,Amanat al Asimah,At Tahrir,YEM,YE1307,YE13,January,2015,1,0
Yemen,Lahij,Al Had,YEM,YE2501,YE25,January,2015,1,3
Yemen,Marib,Bidbadah,YEM,YE2605,YE26,January,2015,0,0
Yemen,Taizz,Hayfan,YEM,YE1516,YE15,January,2015,0,0
Yemen,Al Mahrah,Qishn,YEM,YE2808,YE28,January,2015,0,0
Yemen,Sadah,As Safra,YEM,YE2212,YE22,January,2015,0,0
Yemen,Sanaa,Arhab,YEM,YE2302,YE23,January,2015,8,2
Yemen,Amran,Dhi Bin,YEM,YE2909,YE29,January,2015,0,0
Yemen,Hadramawt,Ar Raydah Wa Qusayar,YEM,YE1913,YE19,January,2015,0,0
Yemen,Al Mahrah,Huswain,YEM,YE2809,YE28,January,2015,0,0
Yemen,Taizz,Dimnat Khadir,YEM,YE1512,YE15,January,2015,0,0
Yemen,Lahij,Yafaa,YEM,YE2502,YE25,January,2015,0,0
Yemen,Hadramawt,Ghayl Ba Wazir,YEM,YE1917,YE19,January,2015,1,1
Yemen,Al Mahwit,Al Khabt,YEM,YE2704,YE27,January,2015,0,0
Yemen,Hajjah,Bakil Al Mir,YEM,YE1701,YE17,January,2015,0,0
Yemen,Hajjah,Hajjah City,YEM,YE1728,YE17,January,2015,0,0
Yemen,Hajjah,Qafl Shamer,YEM,YE1713,YE17,January,2015,0,0
Yemen,Al Bayda,Wald Rabi,YEM,YE1415,YE14,January,2015,8,35
Yemen,Al Hudaydah,Al Mansuriyah,YEM,YE1816,YE18,January,2015,0,0
Yemen,Sanaa,Manakhah,YEM,YE2310,YE23,January,2015,0,0
Yemen,Taizz,Al Waziiyah,YEM,YE1515,YE15,January,2015,1,0
Yemen,Hadramawt,Amd,YEM,YE1921,YE19,January,2015,0,0
Yemen,Hadramawt,Hagr As Saiar,YEM,YE1905,YE19,January,2015,0,0
Yemen,Hajjah,Kuaydinah,YEM,YE1722,YE17,January,2015,0,0
Yemen,Hajjah,Al Jamimah,YEM,YE1708,YE17,January,2015,0,0
